metric,F_stat,p_value,variance_ratio_R
theta_plane_mean,10217.87024534346,2.5287164826980928e-11,10217.870245346448
theta_plane_max,92.0220545908353,3.146954866546459e-05,92.02205459076389
precession_max,inf,0.0,inf
precession_slope,inf,0.0,inf
thickness_slope,0.668842910227288,0.546734416927057,0.6688429102272875
elongation_ratio,0.6171007902720609,0.5705345281669393,0.6171007902720622
oscillation_amp,9318.619871194682,3.33341663142395e-11,9318.619871191668
