,0
delta_Omega_norm,0.6990948816620445
delta_B_omega,0.6115885302990836
delta_fz_mean,0.5955760059797853
delta_A_omega,0.5476254781657129
Omega_norm,0.37930889810929536
B_omega,0.34067300399492145
fz_mean,0.3359580557215664
A_omega,0.3231469656807607
