metric,F_stat,p_value,variance_ratio_R
theta_plane_mean,17939.555185663972,4.674238757905029e-12,17939.55518568003
precession_max,inf,0.0,inf
precession_slope,inf,0.0,inf
thickness_slope,0.5837092206533648,0.5866316249687707,0.5837092206533644
elongation_ratio,0.5249401272102588,0.6164651499859668,0.5249401272102586
oscillation_amp,6900.614528597734,8.206050060577568e-11,6900.6145286014735
