halo,q,A_omega,B_omega,fz_mean,Omega_norm,delta_A_omega,delta_B_omega,delta_fz_mean,delta_Omega_norm,precession_max,precession_slope,theta_plane_mean,theta_plane_max,oscillation_amp,thickness_slope,elongation_ratio
oblate,0.8,0.7015632327760054,1.2347593977918647,0.5207465905284885,29.890140117221865,0.1255527170324281,0.23475939779186528,0.07415652377206217,1.1099080416558564,71.74985276413693,20.35401060944895,88.56769589522064,89.99676829438276,95.7559677287817,0.2329198975239676,8.091532915212978
spherical,1.0,0.5760105157435773,0.9999999999999994,0.4465900667564264,28.78023207556601,0.0,0.0,0.0,0.0,0.0,0.0,89.96315122970248,89.99986777434914,3.1415581819624094,0.20103092000920034,9.070076891246783
prolate,1.2,0.49999840754606956,0.8134830394065173,0.3918960007485781,26.92666373205027,0.07601210819750776,0.1865169605934821,0.05469406600784821,1.853568343515743,58.47044865922766,25.237018011406462,86.34920657420967,89.97204748001745,270.49323494865087,0.17469865949720795,8.373972164338939
