,precession_max,precession_slope,theta_plane_mean,theta_plane_max,oscillation_amp,thickness_slope,elongation_ratio
A_omega,0.1704706607870538,0.1704706607870538,0.19702207215775042,0.19702207215775042,0.19702207215775042,0.25833942502696056,0.6845283355605285
B_omega,0.1704706607870538,0.1704706607870538,0.19702207215775042,0.19702207215775042,0.19702207215775042,0.25833942502696056,0.6845283355605285
fz_mean,0.1704706607870538,0.1704706607870538,0.19702207215775042,0.19702207215775042,0.19702207215775042,0.25833942502696056,0.6845283355605285
Omega_norm,0.1704706607870538,0.1704706607870538,0.19702207215775042,0.19702207215775042,0.19702207215775042,0.25833942502696056,0.6845283355605285
delta_A_omega,0.0,0.1704706607870538,0.19702207215775042,0.19702207215775042,0.19702207215775042,0.5861141333812968,0.40708382206558924
delta_B_omega,0.0,0.1704706607870538,0.19702207215775042,0.19702207215775042,0.19702207215775042,0.5861141333812968,0.40708382206558924
delta_fz_mean,0.0,0.1704706607870538,0.19702207215775042,0.19702207215775042,0.19702207215775042,0.5861141333812968,0.40708382206558924
delta_Omega_norm,0.1704706607870538,0.0,9.584590571929133e-05,9.584590571929133e-05,9.584590571929133e-05,0.5861141333812968,0.6845283355605285
