,precession_max,precession_slope,theta_plane_mean,theta_plane_max,oscillation_amp,thickness_slope,elongation_ratio
A_omega,0.3105630423627197,-0.042452543755222616,0.4910466562714256,0.7089610276714909,-0.5295406071039142,0.425395381955682,-0.1703720325579407
B_omega,0.238522722684056,-0.11713668966428928,0.5548782356025009,0.7580702674731506,-0.5915518543712877,0.4269444429554304,-0.14172213264063338
fz_mean,0.258831252548239,-0.09628916959171041,0.5373175989470704,0.7447473750549634,-0.5745217295189211,0.4267523794635746,-0.14982521649548175
Omega_norm,0.0309400770559085,-0.3214928355573357,0.7160054367802954,0.8721791487032277,-0.7465217910645444,0.41854988608049626,-0.05777344031684551
delta_A_omega,0.9742014542444849,0.8332193331513048,-0.4915889328060954,-0.21759435537930022,0.45210947211274355,0.18860081985148378,-0.410160702259473
delta_B_omega,0.9997799458366655,0.9289500593709066,-0.659782589456054,-0.40989507022730864,0.6254775551900673,0.10598646497256488,-0.41143223757472397
delta_fz_mean,0.9967164215468463,0.9050450058512566,-0.6134827204909086,-0.3554357834550429,0.5775118109327508,0.130630196392685,-0.412879653525703
delta_Omega_norm,0.8338026066785057,0.9744391603955066,-0.9701589426026281,-0.8463971049247591,0.9583441272665603,-0.1483960403523175,-0.31744642210118834
